iter	Passed	Remaining
0	172	172577
1	174	87120
2	176	58580
3	177	44274
4	179	35790
5	181	30109
6	183	26010
7	185	22953
8	186	20559
9	188	18638
10	189	17067
11	191	15762
12	193	14677
13	195	13747
14	196	12934
15	198	12225
16	200	11585
17	201	11020
18	203	10501
19	204	10032
20	206	9607
21	208	9248
22	209	8904
23	210	8577
24	212	8276
25	213	8000
26	214	7741
27	215	7493
28	216	7259
29	217	7040
30	218	6836
31	219	6644
32	220	6466
33	222	6320
34	224	6179
35	225	6031
36	226	5886
37	227	5750
38	228	5620
39	229	5496
40	229	5377
41	230	5265
42	231	5157
43	232	5054
44	233	4956
45	234	4863
46	235	4776
47	237	4706
48	238	4630
49	239	4552
50	240	4476
51	241	4403
52	242	4332
53	243	4264
54	244	4199
55	245	4136
56	246	4075
57	247	4016
58	248	3960
59	249	3904
60	250	3854
61	251	3811
62	253	3764
63	254	3716
64	255	3669
65	256	3624
66	257	3580
67	258	3538
68	259	3496
69	260	3455
70	261	3416
71	262	3379
72	263	3341
73	264	3305
74	265	3274
75	267	3247
76	268	3216
77	269	3184
78	270	3152
79	271	3121
80	272	3090
81	273	3060
82	273	3025
83	274	2997
84	275	2969
85	276	2941
86	277	2915
87	278	2888
88	279	2864
89	281	2847
90	282	2824
91	283	2800
92	284	2776
93	285	2753
94	286	2731
95	287	2708
96	288	2686
97	289	2665
98	290	2644
99	291	2624
100	292	2604
101	293	2586
102	294	2569
103	297	2558
104	298	2541
105	299	2524
106	300	2507
107	301	2491
108	302	2476
109	303	2459
110	305	2442
111	306	2426
112	307	2410
113	308	2394
114	309	2379
115	311	2370
116	312	2355
117	313	2341
118	314	2326
119	315	2311
120	316	2296
121	316	2281
122	317	2267
123	318	2253
124	319	2239
125	320	2226
126	321	2211
127	322	2198
128	323	2186
129	325	2179
130	326	2168
131	327	2155
132	328	2143
133	329	2131
134	330	2119
135	331	2107
136	332	2096
137	333	2084
138	334	2074
139	335	2062
140	336	2051
141	337	2039
142	338	2028
143	340	2021
144	341	2011
145	342	2001
146	343	1991
147	344	1981
148	345	1971
149	346	1961
150	347	1951
151	348	1942
152	349	1932
153	350	1923
154	351	1913
155	352	1904
156	353	1895
157	354	1888
158	355	1882
159	357	1875
160	357	1865
161	358	1856
162	359	1847
163	360	1839
164	361	1830
165	362	1823
166	364	1816
167	365	1809
168	366	1802
169	367	1795
170	369	1789
171	370	1785
172	372	1778
173	373	1771
174	374	1766
175	375	1759
176	377	1753
177	378	1745
178	379	1739
179	380	1731
180	381	1724
181	382	1717
182	383	1711
183	385	1707
184	386	1700
185	387	1694
186	388	1687
187	389	1681
188	390	1675
189	391	1668
190	392	1662
191	393	1655
192	394	1649
193	395	1643
194	396	1637
195	397	1631
196	399	1627
197	401	1625
198	402	1620
199	403	1614
200	404	1608
201	405	1603
202	407	1597
203	408	1592
204	409	1586
205	409	1580
206	410	1574
207	411	1568
208	413	1565
209	415	1561
210	416	1557
211	417	1551
212	418	1547
213	419	1542
214	420	1536
215	421	1531
216	422	1526
217	423	1520
218	424	1515
219	425	1509
220	426	1504
221	428	1501
222	429	1497
223	430	1492
224	431	1487
225	432	1482
226	433	1477
227	434	1472
228	435	1467
229	437	1463
230	438	1459
231	439	1455
232	440	1451
233	441	1446
234	443	1442
235	444	1440
236	446	1436
237	447	1431
238	448	1426
239	449	1422
240	450	1417
241	451	1412
242	452	1408
243	453	1403
244	454	1399
245	454	1394
246	455	1390
247	457	1386
248	458	1383
249	459	1379
250	460	1375
251	461	1370
252	462	1366
253	463	1362
254	464	1357
255	465	1353
256	466	1349
257	467	1344
258	468	1340
259	469	1336
260	470	1332
261	471	1328
262	473	1326
263	474	1323
264	475	1319
265	476	1315
266	477	1311
267	478	1307
268	479	1303
269	480	1299
270	481	1295
271	482	1291
272	483	1287
273	484	1283
274	485	1280
275	486	1276
276	488	1275
277	490	1274
278	491	1270
279	492	1267
280	494	1264
281	495	1262
282	497	1259
283	498	1256
284	499	1253
285	501	1251
286	503	1252
287	505	1250
288	506	1246
289	507	1243
290	509	1240
291	510	1237
292	511	1234
293	512	1231
294	513	1228
295	515	1225
296	517	1223
297	518	1221
298	519	1217
299	520	1214
300	521	1211
301	522	1207
302	523	1204
303	524	1201
304	525	1197
305	526	1194
306	527	1191
307	528	1188
308	530	1185
309	531	1182
310	533	1180
311	534	1178
312	536	1176
313	537	1174
314	539	1172
315	540	1170
316	541	1167
317	543	1164
318	544	1161
319	545	1159
320	547	1157
321	548	1155
322	549	1152
323	551	1149
324	552	1146
325	553	1143
326	554	1140
327	555	1137
328	556	1134
329	557	1131
330	558	1128
331	559	1125
332	561	1124
333	562	1122
334	564	1120
335	566	1119
336	567	1117
337	568	1114
338	569	1111
339	571	1108
340	571	1105
341	572	1102
342	573	1099
343	575	1097
344	577	1096
345	578	1094
346	580	1091
347	581	1088
348	582	1085
349	583	1083
350	584	1080
351	585	1077
352	586	1074
353	587	1071
354	587	1068
355	589	1065
356	590	1064
357	592	1061
358	593	1059
359	594	1056
360	595	1054
361	596	1051
362	597	1048
363	598	1045
364	599	1042
365	600	1040
366	601	1037
367	602	1034
368	603	1031
369	605	1030
370	606	1028
371	607	1026
372	608	1023
373	610	1021
374	611	1018
375	612	1015
376	613	1013
377	614	1010
378	615	1007
379	615	1005
380	616	1002
381	618	999
382	619	997
383	620	996
384	622	993
385	623	991
386	624	989
387	625	987
388	626	984
389	627	982
390	628	979
391	629	977
392	630	974
393	631	971
394	633	969
395	634	968
396	636	966
397	637	964
398	638	962
399	639	959
400	640	957
401	641	954
402	642	952
403	643	949
404	644	947
405	645	944
406	646	942
407	647	939
408	649	938
409	650	936
410	651	934
411	653	932
412	654	929
413	655	927
414	656	925
415	657	923
416	659	921
417	660	919
418	661	917
419	662	914
420	664	913
421	666	912
422	667	910
423	668	908
424	669	905
425	670	903
426	671	901
427	672	899
428	673	896
429	674	894
430	675	892
431	676	890
432	678	888
433	679	886
434	681	884
435	682	882
436	682	879
437	684	877
438	684	875
439	685	872
440	686	870
441	687	868
442	688	865
443	689	863
444	690	861
445	691	859
446	693	857
447	694	855
448	695	853
449	696	851
450	697	849
451	698	846
452	699	844
453	700	842
454	701	840
455	702	837
456	703	835
457	704	833
458	705	831
459	706	829
460	707	827
461	709	826
462	710	824
463	711	822
464	712	820
465	713	817
466	714	815
467	715	813
468	716	811
469	717	809
470	718	807
471	719	804
472	720	802
473	721	801
474	723	799
475	724	797
476	725	795
477	726	793
478	727	791
479	728	789
480	729	786
481	730	784
482	731	782
483	732	780
484	733	778
485	734	776
486	735	775
487	738	774
488	739	772
489	740	770
490	741	768
491	742	766
492	743	764
493	744	762
494	745	760
495	746	758
496	747	756
497	748	754
498	749	752
499	750	750
500	752	749
501	753	747
502	754	745
503	755	743
504	757	742
505	758	740
506	759	738
507	760	736
508	761	734
509	762	732
510	763	730
511	764	728
512	765	726
513	767	725
514	768	724
515	769	722
516	770	720
517	771	718
518	772	716
519	773	714
520	774	712
521	775	710
522	776	708
523	777	706
524	778	704
525	779	702
526	781	701
527	782	699
528	783	697
529	784	695
530	785	693
531	786	691
532	787	689
533	788	688
534	789	686
535	790	684
536	791	682
537	792	680
538	793	678
539	794	676
540	795	675
541	797	673
542	798	671
543	799	670
544	800	668
545	801	666
546	802	664
547	803	662
548	804	660
549	805	658
550	806	656
551	807	655
552	808	653
553	809	651
554	810	650
555	812	648
556	813	646
557	814	644
558	814	642
559	815	641
560	816	639
561	817	637
562	818	635
563	819	633
564	820	631
565	821	630
566	822	628
567	823	626
568	824	624
569	826	623
570	827	621
571	828	619
572	829	618
573	830	616
574	831	614
575	832	612
576	833	610
577	834	609
578	835	607
579	836	605
580	837	603
581	838	601
582	839	600
583	841	599
584	842	597
585	843	596
586	844	594
587	845	592
588	846	590
589	847	589
590	848	587
591	849	585
592	850	583
593	851	582
594	852	580
595	853	578
596	854	577
597	856	575
598	857	574
599	859	572
600	860	571
601	861	569
602	862	567
603	863	566
604	864	564
605	865	562
606	866	561
607	867	559
608	869	558
609	871	557
610	873	555
611	874	554
612	875	552
613	877	551
614	878	549
615	879	548
616	880	546
617	881	544
618	882	543
619	883	541
620	885	540
621	886	538
622	887	537
623	888	535
624	889	533
625	890	532
626	891	530
627	892	528
628	893	527
629	894	525
630	895	523
631	896	522
632	897	520
633	899	519
634	900	517
635	901	516
636	902	514
637	903	512
638	904	511
639	905	509
640	906	507
641	907	506
642	908	504
643	909	502
644	910	501
645	911	499
646	912	498
647	914	496
648	915	495
649	916	493
650	917	492
651	918	490
652	919	488
653	920	487
654	921	485
655	922	483
656	923	482
657	924	480
658	925	479
659	926	477
660	927	475
661	929	474
662	930	473
663	931	471
664	932	469
665	933	468
666	934	466
667	935	464
668	936	463
669	937	461
670	938	460
671	939	458
672	940	456
673	941	455
674	942	453
675	944	452
676	945	451
677	946	449
678	947	448
679	948	446
680	950	445
681	951	443
682	952	441
683	953	440
684	954	438
685	955	437
686	956	435
687	958	434
688	960	433
689	961	431
690	962	430
691	963	428
692	964	427
693	965	425
694	966	423
695	967	422
696	968	420
697	969	419
698	970	417
699	971	416
700	972	414
701	974	413
702	975	412
703	976	410
704	977	408
705	978	407
706	979	405
707	980	404
708	981	402
709	982	401
710	983	399
711	984	398
712	985	396
713	986	395
714	987	393
715	989	392
716	990	390
717	991	389
718	992	387
719	993	386
720	994	384
721	995	383
722	997	382
723	998	380
724	999	379
725	1000	377
726	1001	376
727	1003	375
728	1004	373
729	1006	372
730	1007	370
731	1008	369
732	1009	367
733	1010	366
734	1011	364
735	1012	363
736	1013	361
737	1014	360
738	1015	358
739	1017	357
740	1018	356
741	1020	354
742	1021	353
743	1022	351
744	1023	350
745	1024	348
746	1025	347
747	1027	345
748	1028	344
749	1029	343
750	1030	341
751	1031	340
752	1033	339
753	1034	337
754	1036	336
755	1037	334
756	1038	333
757	1039	331
758	1040	330
759	1041	328
760	1042	327
761	1043	325
762	1044	324
763	1045	323
764	1047	321
765	1049	320
766	1050	319
767	1052	317
768	1053	316
769	1054	314
770	1055	313
771	1056	312
772	1058	310
773	1059	309
774	1061	308
775	1065	307
776	1066	306
777	1067	304
778	1069	303
779	1070	301
780	1071	300
781	1073	299
782	1074	297
783	1076	296
784	1078	295
785	1079	293
786	1080	292
787	1081	290
788	1082	289
789	1083	288
790	1084	286
791	1085	285
792	1086	283
793	1087	282
794	1088	280
795	1090	279
796	1092	278
797	1093	276
798	1095	275
799	1096	274
800	1097	272
801	1098	271
802	1099	269
803	1100	268
804	1101	266
805	1102	265
806	1103	263
807	1104	262
808	1107	261
809	1109	260
810	1111	258
811	1112	257
812	1113	256
813	1114	254
814	1116	253
815	1117	252
816	1119	250
817	1121	249
818	1122	248
819	1124	246
820	1125	245
821	1126	243
822	1127	242
823	1128	241
824	1130	239
825	1131	238
826	1132	236
827	1134	235
828	1136	234
829	1138	233
830	1139	231
831	1141	230
832	1142	229
833	1144	227
834	1145	226
835	1147	225
836	1148	223
837	1150	222
838	1152	221
839	1153	219
840	1154	218
841	1155	216
842	1157	215
843	1158	214
844	1159	212
845	1160	211
846	1161	209
847	1162	208
848	1164	207
849	1165	205
850	1166	204
851	1167	202
852	1168	201
853	1169	200
854	1171	198
855	1172	197
856	1173	195
857	1174	194
858	1175	192
859	1176	191
860	1177	190
861	1178	188
862	1180	187
863	1181	185
864	1182	184
865	1183	183
866	1184	181
867	1185	180
868	1186	178
869	1187	177
870	1188	176
871	1189	174
872	1190	173
873	1191	171
874	1193	170
875	1195	169
876	1196	167
877	1197	166
878	1198	165
879	1199	163
880	1200	162
881	1202	160
882	1203	159
883	1204	158
884	1205	156
885	1207	155
886	1211	154
887	1213	153
888	1214	151
889	1216	150
890	1217	148
891	1218	147
892	1219	146
893	1220	144
894	1221	143
895	1224	142
896	1226	140
897	1227	139
898	1228	138
899	1230	136
900	1232	135
901	1233	134
902	1235	132
903	1236	131
904	1238	129
905	1240	128
906	1241	127
907	1243	125
908	1244	124
909	1246	123
910	1247	121
911	1248	120
912	1250	119
913	1251	117
914	1253	116
915	1255	115
916	1256	113
917	1257	112
918	1258	110
919	1260	109
920	1261	108
921	1262	106
922	1263	105
923	1264	104
